feature,perm_importance_mean,perm_importance_std
payment_method,0.09493580852804148,0.010744636588223146
price_inr,0.010264708322960697,0.006201499346591557
num_previous_returns,0.007291036902687342,0.0024719961710633455
product_category,0.00648849532344673,0.004842965776190218
delivery_days,0.0004542203571329395,0.0031735201685201475
num_previous_orders,-0.0011091748955827153,0.0021340047998708307
is_weekend_order,-0.001116287524054571,0.0006565009640685788
delivery_distance_km,-0.0023661344049693777,0.0021905758834959367
rating_given,-0.002425208735888429,0.002178806980281042
discount_pct,-0.0028744897676937333,0.0024783874006385426
customer_tenure_days,-0.004592979835698357,0.002442580154843512
